measurement,cell_type,cell_name,sample_name,gene_symbol,observation
1.0485,Cellline,BL-NHL,BL.C1,182-FIP,1
0.5661,Cellline,BL-NHL,BL.C2,182-FIP,2
1.4729,Cellline,BL-NHL,BL.C3,182-FIP,3
0.8681,Cellline,BL-NHL,BL.C4,182-FIP,4
0.8788,Cellline,BL-NHL,BL.C5,182-FIP,5
0.3739,Cellline,BL-NHL,BL.C6,182-FIP,6
0.3344,Cellline,BL-NHL,BL.C7,182-FIP,7
0.3965,Cellline,BL-NHL,BL.C8,182-FIP,8
0.4292,Cellline,EWS,EWS.C1,182-FIP,9
0.0734,Cellline,EWS,EWS.C10,182-FIP,10
0.2561,Cellline,EWS,EWS.C11,182-FIP,11
0.6085,Cellline,EWS,EWS.C2,182-FIP,12
0.9654,Cellline,EWS,EWS.C3,182-FIP,13
0.51,Cellline,EWS,EWS.C4,182-FIP,14
0.173,Cellline,EWS,EWS.C6,182-FIP,15
0.1583,Cellline,EWS,EWS.C7,182-FIP,16
0.1108,Cellline,EWS,EWS.C8,182-FIP,17
0.164,Cellline,EWS,EWS.C9,182-FIP,18
0.4113,Cellline,NB,NB.C1,182-FIP,19
0.1774,Cellline,NB,NB.C10,182-FIP,20
0.2182,Cellline,NB,NB.C11,182-FIP,21
0.1703,Cellline,NB,NB.C12,182-FIP,22
0.507,Cellline,NB,NB.C2,182-FIP,23
0.3691,Cellline,NB,NB.C3,182-FIP,24
0.5079,Cellline,NB,NB.C4,182-FIP,25
0.1015,Cellline,NB,NB.C5,182-FIP,26
0.3277,Cellline,NB,NB.C6,182-FIP,27
0.2999,Cellline,NB,NB.C7,182-FIP,28
0.1755,Cellline,NB,NB.C8,182-FIP,29
0.2133,Cellline,NB,NB.C9,182-FIP,30
0.1744,Cellline,RMS,RMS.C10,182-FIP,31
0.4866,Cellline,RMS,RMS.C11,182-FIP,32
0.156,Cellline,RMS,RMS.C2,182-FIP,33
0.3226,Cellline,RMS,RMS.C3,182-FIP,34
0.563,Cellline,RMS,RMS.C4,182-FIP,35
0.6013,Cellline,RMS,RMS.C5,182-FIP,36
0.4484,Cellline,RMS,RMS.C6,182-FIP,37
0.2121,Cellline,RMS,RMS.C7,182-FIP,38
